Time(s):,Tower T:,Tower TEMP,Room T:,Room TEMP,PID,P:,I:,D:,Mass: ,Mass/10,MassRate: ,Average (MassRate * 100),Freq: ,Frequency Average,Epsilon: 
10,22.5,,78.25,,135,300,33.75,49.8,0,0,0,,153000,,29.26
11,22.5,22.5,78.31,78.31,135,300,67.5,0,-0.03,-0.003,0,,153000,,29.26
12,22.44,22.44,78.37,78.37,135,300.5,100,1.13,-0.01,-0.001,0,,153000,,29.28
13,22.31,22.31,78.37,78.37,135,301.5,100,1.13,0.07,0.007,0,,152500,,29.41
13,22.37,22.37,78.37,78.37,135,301,100,1.13,-0.01,-0.001,0,,152500,,29.4
14,22.19,22.19,78.44,78.44,135,302.5,100,2.26,0.12,0.012,0,,152500,,29.45
15,22.12,22.12,78.44,78.44,135,303,100,1.13,0.15,0.015,0.02,,152500,,29.47
16,22.12,22.12,78.5,78.5,135,303,100,0,0.08,0.008,0.02,,153000,,29.37
17,22.06,22.06,78.5,78.5,135,303.5,100,1.13,0.03,0.003,0.01,,153000,,29.39
18,22,22,78.5,78.5,135,304,100,1.13,0,0,0.01,,152500,,29.51
18,22,22,78.56,78.56,135,304,100,0,0.04,0.004,0,,153000,,29.41
19,21.94,21.94,78.56,78.56,135,304.5,100,1.13,0.07,0.007,0,,153000,,29.43
20,21.94,21.94,78.56,78.56,135,304.5,100,0,0.04,0.004,0.01,,153000,,29.43
21,21.94,21.94,78.62,78.62,135,304.5,100,0,-0.01,-0.001,0.01,,153000,,29.43
22,21.87,21.87,78.62,78.62,135,305,100,1.13,0.03,0.003,0,,153500,,29.35
23,21.87,21.87,78.69,78.69,135,305,100,0,0.06,0.006,0,,153000,,29.45
23,21.87,21.87,78.69,78.69,135,305,100,0,0.06,0.006,-0.01,,153000,,29.45
24,21.87,21.87,78.75,78.75,135,305,100,0,0.15,0.015,-0.01,0.8,152500,152882.3529,29.55
25,21.94,21.94,78.75,78.75,135,304.5,100,-1.13,0.06,0.006,0.01,0.88,153000,152882.3529,29.43
26,21.94,21.94,78.75,78.75,135,304.5,100,0,0.17,0.017,0.01,1,152500,152882.3529,29.53
27,21.94,21.94,78.75,78.75,135,304.5,100,0,0.19,0.019,0.02,1.12,153000,152882.3529,29.43
28,22,22,78.81,78.81,135,304,100,0,0.28,0.028,0.03,1.16,153000,152897.0588,29.41
28,22,22,78.81,78.81,135,304,100,-1.13,0.3,0.03,0.02,1.2,153500,152911.7647,29.32
29,22,22,78.81,78.81,135,304,100,0,0.23,0.023,0.03,1.2,152500,152941.1765,29.51
30,22,22,78.81,78.81,135,304,100,0,0.19,0.019,0.02,1.12,153000,152955.8824,29.41
31,22,22,78.87,78.87,135,304,100,0,0.29,0.029,0.02,1.04,152500,152955.8824,29.51
32,22,22,78.87,78.87,135,304,100,0,0.29,0.029,0.03,1,152500,152955.8824,29.51
32,22,22,78.87,78.87,135,304,100,0,0.25,0.025,0.03,1.08,153500,152970.5882,29.32
34,22,22,78.94,78.94,135,304,100,0,0.24,0.024,0.01,1.2,153000,152970.5882,29.41
35,22,22,78.94,78.94,135,304,100,0,0.19,0.019,0.01,1.24,153000,152955.8824,29.41
36,22,22,78.94,78.94,135,304,100,0,0.21,0.021,0,1.24,152500,152955.8824,29.51
37,22,22,79,79,135,304,100,0,0.29,0.029,0,1.24,153000,152955.8824,29.41
37,22,22,79,79,135,304,100,0,0.31,0.031,0,1.28,153000,152926.4706,29.41
38,22,22,79,79,135,304,100,0,0.42,0.042,0,1.32,153000,152926.4706,29.41
39,22,22,79,79,135,304,100,0,0.48,0.048,0.03,1.4,153000,152926.4706,29.41
40,22,22,79,79,135,304,100,0,0.35,0.035,0.03,1.44,153000,152941.1765,29.41
41,21.94,21.94,79,79,135,304.5,100,1.13,0.43,0.043,0.01,1.4,153000,152926.4706,29.43
42,21.94,21.94,79.06,79.06,135,304.5,100,0,0.32,0.032,0.01,1.28,153000,152941.1765,29.43
42,21.94,21.94,79.06,79.06,135,304.5,100,0,0.29,0.029,0.01,1.12,153000,152941.1765,29.43
43,21.94,21.94,79.06,79.06,135,304.5,100,0,0.27,0.027,0.01,0.92,153500,152941.1765,29.33
44,21.94,21.94,79.12,79.12,135,304.5,100,0,0.33,0.033,0.01,0.76,153000,152926.4706,29.43
45,21.94,21.94,79.12,79.12,135,304.5,100,0,0.31,0.031,0.01,0.6,153000,152941.1765,29.43
46,21.94,21.94,79.12,79.12,135,304.5,100,0,0.25,0.025,0,0.44,153000,152941.1765,29.43
47,21.94,21.94,79.19,79.19,135,304.5,100,0,0.32,0.032,0,0.32,153000,152941.1765,29.43
47,21.87,21.87,79.19,79.19,135,305,100,1.13,0.24,0.024,-0.02,0.16,153000,152955.8824,29.45
49,21.87,21.87,79.25,79.25,135,305,100,0,0.16,0.016,-0.02,-1.249E-16,152500,152926.4706,29.55
50,21.87,21.87,79.25,79.25,135,305,100,0,0.13,0.013,-0.02,-0.04,153000,152926.4706,29.45
51,21.87,21.87,79.25,79.25,135,305,100,0,0.15,0.015,-0.02,-2.08167E-16,153000,152926.4706,29.45
52,21.87,21.87,79.31,79.31,135,305,100,0,0.22,0.022,-0.01,-2.08167E-16,152500,152941.1765,29.55
52,21.87,21.87,79.25,79.25,135,305,100,0,0.17,0.017,-0.02,0.08,153000,152941.1765,29.45
53,21.87,21.87,79.31,79.31,135,305,100,0,0.15,0.015,-0.01,0.16,153000,152941.1765,29.45
54,21.87,21.87,79.31,79.31,135,305,100,0,0.16,0.016,-0.01,0.24,153000,152941.1765,29.45
55,21.87,21.87,79.31,79.31,135,305,100,0,0.28,0.028,-0.01,0.12,152500,152941.1765,29.55
56,21.87,21.87,79.31,79.31,135,305,100,0,0.3,0.03,0,8.32667E-17,153000,152926.4706,29.45
57,21.87,21.87,79.31,79.31,135,305,100,0,0.42,0.042,0.02,0.04,153000,152911.7647,29.45
57,21.87,21.87,79.31,79.31,135,305,100,0,0.34,0.034,0,0.08,153000,152911.7647,29.45
58,21.87,21.87,79.31,79.31,135,305,100,0,0.38,0.038,0.02,0.08,153000,152926.4706,29.45
59,21.81,21.81,79.31,79.31,135,305.5,100,1.13,0.22,0.022,0.02,0.08,153000,152926.4706,29.47
60,21.81,21.81,79.31,79.31,135,305.5,100,0,0.19,0.019,0.02,0,153000,152970.5882,29.47
61,21.81,21.81,79.31,79.31,135,305.5,100,0,0.27,0.027,0,-0.08,152500,153000,29.56
61,21.81,21.81,79.31,79.31,135,305.5,100,0,0.23,0.023,0,-0.16,153000,153014.7059,29.47
62,21.81,21.81,79.31,79.31,135,305.5,100,0,0.37,0.037,0.02,-0.24,152500,153044.1176,29.56
63,21.81,21.81,79.31,79.31,135,305.5,100,0,0.34,0.034,0.02,-0.24,153000,153073.5294,29.47
64,21.81,21.81,79.31,79.31,135,305.5,100,0,0.39,0.039,0.01,-0.24,153000,153117.6471,29.47
65,21.81,21.81,79.31,79.31,135,305.5,100,0,0.28,0.028,0.01,-0.32,153000,153132.3529,29.47
66,21.81,21.81,79.31,79.31,135,305.5,100,0,0.32,0.032,-0.01,-0.4,153000,153161.7647,29.47
66,21.81,21.81,79.37,79.37,135,305.5,100,0,0.17,0.017,-0.01,-0.56,153000,153220.5882,29.47
67,21.81,21.81,79.37,79.37,135,305.5,100,0,0.1,0.01,-0.02,-0.68,153000,153250,29.47
68,21.81,21.81,79.37,79.37,135,305.5,100,0,0.08,0.008,-0.02,-0.84,153000,153279.4118,29.47
69,21.81,21.81,79.37,79.37,135,305.5,100,0,0,0,-0.02,-1,152500,153308.8235,29.56
70,21.81,21.81,79.44,79.44,135,305.5,100,0,0,0,-0.02,-1.12,152500,153352.9412,29.56
71,21.81,21.81,79.44,79.44,135,305.5,100,0,-0.05,-0.005,-0.04,-1.28,153000,153397.0588,29.47
71,21.81,21.81,79.44,79.44,135,305.5,100,0,-0.04,-0.004,-0.04,-1.52,153500,153411.7647,29.37
72,21.81,21.81,79.44,79.44,135,305.5,100,0,-0.12,-0.012,-0.05,-1.68,153500,153426.4706,29.37
73,21.81,21.81,79.5,79.5,135,305.5,100,0,-0.06,-0.006,-0.05,-1.84,154500,153455.8824,29.18
74,21.81,21.81,79.44,79.44,135,305.5,100,0,-0.13,-0.013,-0.05,-2,154000,153470.5882,29.28
75,21.81,21.81,79.44,79.44,135,305.5,100,0,-0.19,-0.019,-0.05,-2.08,153500,153500,29.37
76,21.81,21.81,79.44,79.44,135,305.5,100,0,-0.27,-0.027,-0.04,-2.08,154000,153558.8235,29.28
76,21.81,21.81,79.5,79.5,135,305.5,100,0,-0.26,-0.026,-0.04,-1.96,154000,153573.5294,29.28
77,21.81,21.81,79.44,79.44,135,305.5,100,0,-0.25,-0.025,-0.04,-1.92,154000,153632.3529,29.28
78,21.81,21.81,79.44,79.44,135,305.5,100,0,-0.16,-0.016,-0.04,-1.8,153500,153661.7647,29.37
79,21.81,21.81,79.5,79.5,135,305.5,100,0,-0.14,-0.014,-0.02,-1.64,154000,153691.1765,29.28
80,21.81,21.81,79.5,79.5,135,305.5,100,0,-0.04,-0.004,-0.02,-1.4,154500,153705.8824,29.18
81,21.81,21.81,79.5,79.5,135,305.5,100,0,-0.05,-0.005,0,-1.08,154000,153720.5882,29.28
81,21.81,21.81,79.5,79.5,135,305.5,100,0,0.1,0.01,0,-0.8,154000,153750,29.28
82,21.81,21.81,79.5,79.5,135,305.5,100,0,0.15,0.015,0.03,-0.48,154000,153779.4118,29.28
83,21.81,21.81,79.5,79.5,135,305.5,100,0,0.15,0.015,0.03,-0.24,154000,153808.8235,29.28
84,21.81,21.81,79.56,79.56,135,305.5,100,0,0.24,0.024,0.05,0,154500,153838.2353,29.18
85,21.81,21.81,79.56,79.56,135,305.5,100,0,0.3,0.03,0.05,0.24,153500,153897.0588,29.37
86,21.81,21.81,79.62,79.62,135,305.5,100,-1.13,0.36,0.036,0.07,0.56,153500,153955.8824,29.37
86,21.75,21.75,79.62,79.62,135,306,100,1.13,0.35,0.035,0.07,0.88,154000,154000,29.3
87,21.81,21.81,79.62,79.62,135,305.5,100,0,0.3,0.03,0.06,1.24,153500,154044.1176,29.37
88,21.81,21.81,79.69,79.69,135,305.5,100,0,0.24,0.024,0.06,1.52,154000,154058.8235,29.28
89,21.81,21.81,79.69,79.69,135,305.5,100,0,0.42,0.042,0.04,1.84,154500,154073.5294,29.18
90,21.75,21.75,79.75,79.75,135,306,100,1.13,0.43,0.043,0.04,2.12,153500,154117.6471,29.39
91,21.81,21.81,79.75,79.75,135,305.5,100,-1.13,0.52,0.052,0.04,2.4,154500,154132.3529,29.18
91,21.75,21.75,79.75,79.75,135,306,100,1.13,0.6,0.06,0.04,2.72,154000,154147.0588,29.3
92,21.75,21.75,79.75,79.75,135,306,100,0,0.48,0.048,0.04,3.04,154000,154161.7647,29.3
93,21.81,21.81,79.81,79.81,135,305.5,100,-1.13,0.48,0.048,0.04,3.32,153500,154205.8824,29.37
94,21.81,21.81,79.81,79.81,135,305.5,100,0,0.56,0.056,0.02,3.52,153500,154220.5882,29.37
95,21.75,21.75,79.87,79.87,135,306,100,0,0.58,0.058,0.03,3.56,154000,154235.2941,29.3
95,21.75,21.75,79.81,79.81,135,306,100,1.13,0.51,0.051,0.02,3.52,154000,154264.7059,29.3
96,21.75,21.75,79.87,79.87,135,306,100,0,0.61,0.061,0.03,3.44,154000,154294.1176,29.3
97,21.75,21.75,79.94,79.94,135,306,100,0,0.64,0.064,0.04,3.24,153500,154323.5294,29.39
98,21.75,21.75,79.94,79.94,135,306,100,0,0.7,0.07,0.04,3.04,154500,154352.9412,29.2
99,21.75,21.75,79.94,79.94,135,306,100,0,0.68,0.068,0.03,2.76,155000,154352.9412,29.11
100,21.75,21.75,79.94,79.94,135,306,100,0,0.49,0.049,0.03,2.4,155000,154382.3529,29.11
100,21.75,21.75,79.94,79.94,135,306,100,0,0.41,0.041,-0.01,1.96,155000,154426.4706,29.11
101,21.75,21.75,80,80,135,306,100,0,0.38,0.038,-0.01,1.4,155000,154455.8824,29.11
102,21.75,21.75,80,80,135,306,100,0,0.38,0.038,-0.02,0.88,154500,154500,29.2
103,21.75,21.75,80,80,135,306,100,0,0.41,0.041,-0.02,0.4,155000,154529.4118,29.11
104,21.75,21.75,80,80,135,306,100,0,0.3,0.03,-0.02,0,154500,154544.1176,29.2
105,21.75,21.75,80.06,80.06,135,306,100,0,0.33,0.033,-0.02,-0.4,154500,154573.5294,29.2
105,21.75,21.75,80.06,80.06,135,306,100,0,0.31,0.031,-0.04,-0.8,154500,154588.2353,29.2
106,21.75,21.75,80.06,80.06,135,306,100,0,0.17,0.017,-0.04,-1.24,155000,154602.9412,29.11
107,21.75,21.75,80.06,80.06,135,306,100,0,0.12,0.012,-0.07,-1.68,154500,154632.3529,29.2
108,21.75,21.75,80.12,80.12,135,306,100,0,0.04,0.004,-0.07,-2.16,155000,154676.4706,29.11
109,21.75,21.75,80.12,80.12,135,306,100,0,-0.11,-0.011,-0.06,-2.44,155000,154720.5882,29.11
110,21.75,21.75,80.12,80.12,135,306,100,0,-0.08,-0.008,-0.06,-2.88,155000,154750,29.11
110,21.75,21.75,80.12,80.12,135,306,100,0,-0.14,-0.014,-0.06,-3.16,155000,154764.7059,29.11
111,21.75,21.75,80.12,80.12,135,306,100,0,-0.19,-0.019,-0.06,-3.36,155000,154779.4118,29.11
112,21.75,21.75,80.19,80.19,135,306,100,0,-0.23,-0.023,-0.07,-3.6,154500,154808.8235,29.2
113,21.75,21.75,80.19,80.19,135,306,100,0,-0.35,-0.035,-0.07,-3.76,154500,154823.5294,29.2
114,21.75,21.75,80.19,80.19,135,306,100,0,-0.33,-0.033,-0.08,-3.84,155000,154823.5294,29.11
115,21.75,21.75,80.25,80.25,135,306,100,0,-0.27,-0.027,-0.05,-3.96,155000,154823.5294,29.11
115,21.75,21.75,80.25,80.25,135,306,100,0,-0.25,-0.025,-0.08,-3.88,155000,154823.5294,29.11
116,21.75,21.75,80.31,80.31,135,306,100,0,-0.24,-0.024,-0.05,-3.68,155000,154808.8235,29.11
117,21.75,21.75,80.37,80.37,135,306,100,0,-0.18,-0.018,-0.02,-3.44,155000,154823.5294,29.11
118,21.75,21.75,80.44,80.44,135,306,100,0,-0.16,-0.016,-0.02,-3.2,154500,154823.5294,29.2
119,21.75,21.75,80.5,80.5,135,306,100,0,-0.09,-0.009,0,-2.96,155000,154823.5294,29.11
120,21.75,21.75,80.56,80.56,135,306,100,0,-0.13,-0.013,0.01,-2.76,154500,154838.2353,29.2
120,21.75,21.75,80.5,80.5,135,306,100,0,-0.17,-0.017,0,-2.48,155000,154838.2353,29.11
121,21.75,21.75,80.56,80.56,135,306,100,0,-0.07,-0.007,0.01,-2.28,155000,154838.2353,29.11
122,21.75,21.75,80.62,80.62,135,306,100,0,0.02,0.002,0.04,-1.96,155000,154838.2353,29.11
123,21.75,21.75,80.62,80.62,135,306,100,0,0.05,0.005,0.04,-1.6,155000,154838.2353,29.11
124,21.75,21.75,80.62,80.62,135,306,100,0,0.15,0.015,0.04,-1.28,154500,154823.5294,29.2
125,21.75,21.75,80.62,80.62,135,306,100,0,0.09,0.009,0.04,-1,154500,154823.5294,29.2
125,21.75,21.75,80.62,80.62,135,306,100,0,0.04,0.004,0.03,-0.72,154500,154823.5294,29.2
126,21.75,21.75,80.69,80.69,135,306,100,0,-0.06,-0.006,0.03,-0.52,155000,154808.8235,29.11
127,21.75,21.75,80.69,80.69,135,306,100,0,-0.06,-0.006,0.01,-0.28,155000,154823.5294,29.11
128,21.75,21.75,80.69,80.69,135,306,100,0,0,0,0.01,-0.08,155000,154838.2353,29.11
129,21.75,21.75,80.69,80.69,135,306,100,0,-0.01,-0.001,0.02,0.16,155000,154823.5294,29.11
129,21.75,21.75,80.69,80.69,135,306,100,0,-0.01,-0.001,0.02,0.36,154500,154823.5294,29.2
130,21.75,21.75,80.75,80.75,135,306,100,0,0.08,0.008,0.01,0.68,155000,154808.8235,29.11
131,21.75,21.75,80.75,80.75,135,306,100,0,-0.03,-0.003,0.01,0.88,155000,154808.8235,29.11
132,21.75,21.75,80.75,80.75,135,306,100,0,-0.01,-0.001,-0.01,0.96,154500,154808.8235,29.2
133,21.75,21.75,80.75,80.75,135,306,100,0,-0.14,-0.014,-0.01,1.04,155000,154808.8235,29.11
134,21.75,21.75,80.81,80.81,135,306,100,0,-0.12,-0.012,-0.02,1.04,154500,154808.8235,29.2
134,21.75,21.75,80.81,80.81,135,306,100,0,-0.04,-0.004,-0.02,1.04,155000,154823.5294,29.11
135,21.75,21.75,80.81,80.81,135,306,100,0,-0.14,-0.014,0,1.08,154500,154823.5294,29.2
136,21.75,21.75,80.87,80.87,135,306,100,0,-0.06,-0.006,0,1.16,155000,154823.5294,29.11
137,21.75,21.75,80.87,80.87,135,306,100,0,-0.03,-0.003,0,1.12,154500,154823.5294,29.2
138,21.75,21.75,80.94,80.94,135,306,100,0,0.04,0.004,0,1.04,155000,154823.5294,29.11
139,21.75,21.75,80.94,80.94,135,306,100,0,0.07,0.007,0,0.96,155000,154838.2353,29.11
139,21.75,21.75,81,81,135,306,100,0,0.06,0.006,0,0.84,154500,154852.9412,29.2
140,21.75,21.75,81,81,135,306,100,0,0.09,0.009,0.01,0.76,155000,154867.6471,29.11
141,21.75,21.75,81,81,135,306,100,0,0.12,0.012,0.01,0.64,155000,154867.6471,29.11
142,21.75,21.75,81,81,135,306,100,0,0.14,0.014,0.03,0.6,154500,154867.6471,29.2
143,21.75,21.75,81.06,81.06,135,306,100,0,0.14,0.014,0.03,0.6,155000,154867.6471,29.11
144,21.75,21.75,81.06,81.06,135,306,100,0,0.07,0.007,0.02,0.56,154500,154867.6471,29.2
144,21.75,21.75,81.06,81.06,135,306,100,0,0.07,0.007,0.02,0.48,155000,154867.6471,29.11
145,21.75,21.75,81.06,81.06,135,306,100,0,0,0,0.01,0.44,155000,154882.3529,29.11
146,21.75,21.75,81.06,81.06,135,306,100,0,0.01,0.001,0.01,0.32,154500,154882.3529,29.2
147,21.75,21.75,81.12,81.12,135,306,100,0,0.08,0.008,0,0.28,155000,154882.3529,29.11
148,21.75,21.75,81.12,81.12,135,306,100,0,0.19,0.019,0,0.16,155000,154882.3529,29.11
149,21.75,21.75,81.12,81.12,135,306,100,0,0.13,0.013,0.01,0.08,155000,154897.0588,29.11
149,21.75,21.75,81.12,81.12,135,306,100,0,0.09,0.009,0.01,0.08,155000,154897.0588,29.11
150,21.75,21.75,81.12,81.12,135,306,100,0,0.16,0.016,0,1.66533E-16,155000,154911.7647,29.11
151,21.75,21.75,81.19,81.19,135,306,100,0,0.02,0.002,0,-0.08,155000,154911.7647,29.11
152,21.75,21.75,81.19,81.19,135,306,100,0,-0.12,-0.012,-0.02,-0.16,155000,154926.4706,29.11
153,21.75,21.75,81.19,81.19,135,306,100,0,-0.27,-0.027,-0.02,-0.28,155000,154911.7647,29.11
154,21.75,21.75,81.25,81.25,135,306,100,0,-0.33,-0.033,-0.04,-0.4,155000,154867.6471,29.11
154,21.75,21.75,81.25,81.25,135,306,100,0,-0.17,-0.017,-0.04,-0.44,155000,154867.6471,29.11
155,21.75,21.75,81.31,81.31,135,306,100,0,-0.14,-0.014,-0.02,-0.52,155000,154867.6471,29.11
156,21.75,21.75,81.37,81.37,135,306,100,0,-0.05,-0.005,-0.02,-0.44,155000,154867.6471,29.11
158,21.75,21.75,81.44,81.44,135,306,100,0,-0.15,-0.015,-0.02,-0.44,155000,154882.3529,29.11
158,21.75,21.75,81.5,81.5,135,306,100,0,-0.06,-0.006,-0.02,-0.52,154500,154882.3529,29.2
159,21.75,21.75,81.5,81.5,135,306,100,0,-0.11,-0.011,-0.03,-0.56,155500,154882.3529,29.01
160,21.75,21.75,81.5,81.5,135,306,100,0,-0.09,-0.009,-0.03,-0.6,155000,154882.3529,29.11
161,21.75,21.75,81.5,81.5,135,306,100,0,-0.11,-0.011,-0.01,-0.6,154500,154882.3529,29.2
162,21.75,21.75,81.5,81.5,135,306,100,0,-0.04,-0.004,-0.01,-0.6,155000,154897.0588,29.11
163,21.75,21.75,81.5,81.5,135,306,100,0,-0.11,-0.011,0.03,-0.56,155000,154897.0588,29.11
163,21.75,21.75,81.5,81.5,135,306,100,0,-0.1,-0.01,0.03,-0.4,155000,154882.3529,29.11
164,21.75,21.75,81.56,81.56,135,306,100,0,-0.05,-0.005,0.01,-0.28,155000,154882.3529,29.11
165,21.75,21.75,81.56,81.56,135,306,100,0,-0.03,-0.003,0.01,-0.24,155000,154882.3529,29.11
166,21.75,21.75,81.56,81.56,135,306,100,0,-0.06,-0.006,0.01,-0.16,155000,154867.6471,29.11
167,21.75,21.75,81.62,81.62,135,306,100,0,-0.11,-0.011,0.01,-0.12,154500,154838.2353,29.2
168,21.75,21.75,81.62,81.62,135,306,100,0,0.13,0.013,0.01,1.94289E-16,153500,154838.2353,29.39
168,21.75,21.75,81.62,81.62,135,306,100,0,0.25,0.025,0.01,0.12,154500,154838.2353,29.2
169,21.75,21.75,81.69,81.69,135,306,100,0,0.24,0.024,0.04,0.32,155000,154838.2353,29.11
170,21.75,21.75,81.69,81.69,135,306,100,0,0.13,0.013,0.04,0.52,155000,154823.5294,29.11
171,21.75,21.75,81.69,81.69,135,306,100,0,0.06,0.006,0.02,0.64,155000,154808.8235,29.11
172,21.75,21.75,81.75,81.75,135,306,100,0,-0.04,-0.004,0.02,0.68,155000,154794.1176,29.11
173,21.75,21.75,81.75,81.75,135,306,100,0,0.05,0.005,0.01,0.72,154500,154779.4118,29.2
173,21.75,21.75,81.75,81.75,135,306,100,0,-0.03,-0.003,0.01,0.8,155000,154750,29.11
174,21.75,21.75,81.81,81.81,135,306,100,0,0.09,0.009,0.01,0.92,155000,154735.2941,29.11
175,21.75,21.75,81.81,81.81,135,306,100,0,0.07,0.007,0.01,0.88,155000,154735.2941,29.11
176,21.75,21.75,81.81,81.81,135,306,100,0,0.14,0.014,0.01,0.76,155000,154750,29.11
177,21.75,21.75,81.81,81.81,135,306,100,0,0.18,0.018,0.01,0.6,154500,154750,29.2
178,21.75,21.75,81.87,81.87,135,306,100,0,0.15,0.015,-0.01,0.28,155000,154735.2941,29.11
178,21.75,21.75,81.87,81.87,135,306,100,0,0.15,0.015,-0.01,-0.12,155000,154750,29.11
179,21.75,21.75,81.87,81.87,135,306,100,0,0,0,0,-0.44,154500,154750,29.2
180,21.75,21.75,81.94,81.94,135,306,100,0,-0.14,-0.014,0,-0.8,154000,154735.2941,29.3
181,21.75,21.75,81.94,81.94,135,306,100,0,-0.5,-0.05,-0.04,-1.16,155000,154735.2941,29.11
182,21.75,21.75,82,82,135,306,100,0,-0.52,-0.052,-0.04,-1.44,155000,154735.2941,29.11
183,21.75,21.75,82,82,135,306,100,0,-0.3,-0.03,-0.05,-1.72,155000,154750,29.11
183,21.75,21.75,82.06,82.06,135,306,100,0,-0.42,-0.042,-0.05,-1.8,154500,154750,29.2
184,21.75,21.75,82.06,82.06,135,306,100,0,-0.46,-0.046,-0.07,-2,154500,154735.2941,29.2
185,21.75,21.75,82.12,82.12,135,306,100,0,-0.5,-0.05,-0.07,-2.16,154500,154750,29.2
186,21.75,21.75,82.12,82.12,135,306,100,0,-0.44,-0.044,-0.08,-2.24,154500,154750,29.2
187,21.75,21.75,82.12,82.12,135,306,100,0,-0.4,-0.04,-0.08,-2.36,153500,154750,29.39
188,21.75,21.75,82.12,82.12,135,306,100,0,-0.37,-0.037,-0.06,-2.44,155000,154764.7059,29.11
188,21.75,21.75,82.19,82.19,135,306,100,0,-0.43,-0.043,-0.06,-2.44,155000,154764.7059,29.11
189,21.75,21.75,82.19,82.19,135,306,100,0,-0.39,-0.039,-0.01,-2.36,155000,154764.7059,29.11
190,21.75,21.75,82.19,82.19,135,306,100,0,-0.39,-0.039,-0.01,-2.36,155000,154750,29.11
191,21.75,21.75,82.19,82.19,135,306,100,0,-0.46,-0.046,0,-2.28,154500,154750,29.2
192,21.75,21.75,82.25,82.25,135,306,100,0,-0.5,-0.05,0,-2.24,155500,154750,29.01
192,21.75,21.75,82.25,82.25,135,306,100,0,-0.53,-0.053,-0.01,-2.12,155000,154735.2941,29.11
194,21.75,21.75,82.31,82.31,135,306,100,0,-0.6,-0.06,-0.01,-2,154500,154735.2941,29.2
196,21.75,21.75,82.31,82.31,135,306,100,0,-0.27,-0.027,0.01,-1.92,155000,154750,29.11
197,21.75,21.75,82.37,82.37,135,306,100,0,-0.1,-0.01,0.03,-1.8,154500,154779.4118,29.2
197,21.75,21.75,82.31,82.31,135,306,100,0,-0.25,-0.025,0.01,-1.52,154000,154779.4118,29.3
198,21.75,21.75,82.37,82.37,135,306,100,0,-0.11,-0.011,0.03,-1.24,154500,154779.4118,29.2
200,21.75,21.75,82.44,82.44,135,306,100,0,-0.28,-0.028,0.02,-1.08,154500,154764.7059,29.2
201,21.75,21.75,82.44,82.44,135,306,100,0,-0.27,-0.027,0.02,-0.96,155500,154764.7059,29.01
202,21.81,21.81,82.5,82.5,135,305.5,100,-1.13,-0.27,-0.027,0.02,-0.76,155000,154779.4118,29.09
202,21.75,21.75,82.5,82.5,135,306,100,0,-0.23,-0.023,0.02,-0.52,155000,154794.1176,29.11
203,21.75,21.75,82.5,82.5,135,306,100,1.13,-0.27,-0.027,0.03,-0.24,155000,154808.8235,29.11
205,21.81,21.81,82.56,82.56,135,305.5,100,-1.13,-0.17,-0.017,0.03,0.16,155000,154852.9412,29.09
206,21.81,21.81,82.56,82.56,135,305.5,100,0,-0.19,-0.019,0.03,0.48,155000,154838.2353,29.09
207,21.81,21.81,82.56,82.56,135,305.5,100,0,-0.32,-0.032,-0.01,0.76,154500,154838.2353,29.18
208,21.81,21.81,82.62,82.62,135,305.5,100,0,-0.3,-0.03,-0.02,0.84,155000,154838.2353,29.09
209,21.81,21.81,82.62,82.62,135,305.5,100,0,-0.28,-0.028,-0.02,1,154500,154823.5294,29.18
210,21.81,21.81,82.62,82.62,135,305.5,100,0,-0.31,-0.031,-0.01,1.2,154500,154838.2353,29.18
211,21.75,21.75,82.69,82.69,135,306,100,1.13,-0.12,-0.012,-0.01,1.32,155000,154808.8235,29.11
212,21.81,21.81,82.69,82.69,135,305.5,100,-1.13,-0.08,-0.008,0.02,1.56,155000,154794.1176,29.09
212,21.81,21.81,82.69,82.69,135,305.5,100,0,-0.15,-0.015,0.02,1.84,155000,154808.8235,29.09
213,21.81,21.81,82.69,82.69,135,305.5,100,0,-0.15,-0.015,0.01,1.92,155000,154808.8235,29.09
214,21.81,21.81,82.75,82.75,135,305.5,100,0,-0.12,-0.012,0.01,1.92,155000,154823.5294,29.09
215,21.81,21.81,82.75,82.75,135,305.5,100,0,0.08,0.008,0.03,2,154500,154852.9412,29.18
216,21.81,21.81,82.75,82.75,135,305.5,100,-1.13,0.07,0.007,0.05,1.96,154500,154852.9412,29.18
216,21.75,21.75,82.75,82.75,135,306,100,1.13,0.06,0.006,0.03,1.96,155000,154867.6471,29.11
217,21.81,21.81,82.81,82.81,135,305.5,100,0,0.25,0.025,0.05,1.96,155000,154852.9412,29.09
219,21.81,21.81,82.81,82.81,135,305.5,100,0,0.2,0.02,0.06,1.96,155000,154852.9412,29.09
221,21.81,21.81,82.81,82.81,135,305.5,100,0,0.11,0.011,0.03,1.84,155000,154852.9412,29.09
221,21.81,21.81,82.81,82.81,135,305.5,100,0,0.14,0.014,0.03,1.68,154500,154852.9412,29.18
222,21.81,21.81,82.81,82.81,135,305.5,100,0,0.16,0.016,0.03,1.6,155000,154852.9412,29.09
223,21.81,21.81,82.81,82.81,135,305.5,100,0,0.19,0.019,0.02,1.52,155000,154838.2353,29.09
224,21.81,21.81,82.87,82.87,135,305.5,100,0,0.29,0.029,0.02,1.6,154500,154852.9412,29.18
